IIIT,password
google,mrbean
askvg,pinnu
ankhare,2000
g24,password
gmail,qwwerty
mtnl,undertaker
adblock,tripleh
egrewrgg,dfhergdfb
reyweryeyer,setrtnfh
dfsdfsdf,sfdsdfsffsf
ftjgv,123456
IIIT,546565
dfdf,sdfgsdfgs
dgdfhg,dfgsdgsd
sdfsg,sdgdsgsd
sdfgsdfg,dfhdf
guitar,chords
iiit,password
kk,wwe
sadfasdf,cvxcv
rajarshi,khare
google,tata
ankhare,123
anada,987
mrbean,abc
sdc,dsa
aahel,qwerty
mrbean,qwertyu
fdslkf,idfuhsidfh
pinni,password
tatti,anda
krk,youtube
sdf,werw3r
googlge,dsfsadsadfwqer
kkk,wwq
3265,6321641
